index,component,image,label_ids,label_names,is_empty
0,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6596_jpg.rf.605c95d3e789a094a3e578cdb4ca00be.jpg,7,KHR_1000,0
1,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_10000_cambodia_currency_project_IMG_8483_jpeg.rf.3063b95deb6fe119adab63326659a922_center_x_vis0p5.jpg,10,KHR_10000,0
2,clean_real_replay,data/cashsnap_v1/images/train/khmer_scan_photo_11_2026-01-02_21-20-08_jpg.rf.411682e3e16f23337c449b8f274728b6.jpg,8,KHR_2000,0
3,countable_partial_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5697_JPG.rf.b7af178c2210bd2b14f09f9be4e47b74.jpg,9 9 9,KHR_5000 KHR_5000 KHR_5000,0
4,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_001112_usd_50.jpg,4,USD_50,0
5,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6371_jpg.rf.ab79c40441fc3ebf1e7e9a4e4874cb46.jpg,,,1
6,high_risk_class_protectors,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_20241112_0009_jpg.rf.59d19c416128634948493c19b054a324.jpg,12 12,KHR_50000 KHR_50000,0
7,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6455_jpg.rf.c8b9827486b833a5fe8c190ebcc7ccd8.jpg,9,KHR_5000,0
8,clean_real_replay,data/cashsnap_v1/images/train/khmer_scan_photo_3_2026-01-02_21-20-08_jpg.rf.30c46529e800c07bc0a00d3fd1effe77.jpg,8,KHR_2000,0
9,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000017_khr_10000.jpg,10,KHR_10000,0
10,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6604_jpg.rf.7b84c876799b92a42ea7c191daf287b2.jpg,7,KHR_1000,0
11,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_5_usd_total_5Dollar_32_jpg.rf.01ef58ba19e8a22a1af74bfafc7269bf_corner_tr_vis0p7.jpg,1,USD_5,0
12,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6436_jpg.rf.866122a34d55a60f7faad326441cd30a.jpg,,,1
13,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4494_jpg.rf.f25d0852f783202450ef83f9c2c6a4a8.jpg,,,1
14,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/cashcountingxl_msg-553567819-533015_jpg.rf.64b33b289c55c3231b2bc3f05cc5fe81.jpg,,,1
15,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4488_jpg.rf.bee1bccf2e366f0f8c4f9483a4a2522c.jpg,,,1
16,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6424_jpg.rf.6c526e1d08075fcee0f4cc3fa5e70017.jpg,,,1
17,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_500_cambodia_currency_project_IMG_5656_JPG.rf.f88e1f97e9177a089dfecf2a0d961dfd_corner_bl_vis0p7.jpg,6,KHR_500,0
18,high_risk_class_protectors,data/cashsnap_v1/images/train/khmer_scan_IMG_8543-2_jpeg_jpg.rf.2c9972961f66fe2277491bf62d0891e0.jpg,12,KHR_50000,0
19,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_5_usd_total_5Dollar_32_jpg.rf.01ef58ba19e8a22a1af74bfafc7269bf_center_y_vis0p5.jpg,1,USD_5,0
20,high_risk_class_protectors,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000500_usd_100.jpg,5,USD_100,0
21,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/cashcountingxl_006__5-Cents_usa_jpg.rf.244fe51d0b401cda215cfae1784d3658.jpg,,,1
22,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5629_JPG.rf.b0087e9ccdb4a01417ec584f0f518c4b.jpg,6,KHR_500,0
23,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6599_jpg.rf.d8321320e508154b1c1a2e8e963a5f39.jpg,7,KHR_1000,0
24,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5634_JPG.rf.0769c311d6db5294db13f289aa52414f.jpg,6,KHR_500,0
25,countable_partial_replay,data/processed/cashsnap_real_borderpartial_visibility_p8_v1/images/train/KHR_20000_khmer_scan_IMG_8510_jpeg_jpg.rf.d2cbe0f57589bdc36857a7d598e140f9_right_vis0p3.jpg,11,KHR_20000,0
26,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5468_jpg.rf.99b25d4ccae86ddebb49cf1f07c86f2d.jpg,,,1
27,strictbest_synth_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6069_jpg.rf.fa0480b9b83a83e1723179dfc3bbb333.jpg,,,1
28,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000603_khr_1000.jpg,7,KHR_1000,0
29,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000615_khr_10000.jpg,10,KHR_10000,0
30,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_20241112_0009_jpg.rf.c1a4c5f122fbcde5346d8f43c2c72bcf.jpg,12 12,KHR_50000 KHR_50000,0
31,clean_real_replay,data/cashsnap_v1/images/train/billsbank_100Dollar_104_jpg.rf.df420dc09f9e9d153bb35abc418e9b98.jpg,5,USD_100,0
32,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5635_JPG.rf.8112a6241a34143519013d8576e0d574.jpg,6,KHR_500,0
33,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_10_usd_total_10Dollar_199_jpeg_jpg.rf.ea9dda09b28d4b8c0240b5c5e80a3763_corner_br_vis0p7.jpg,2,USD_10,0
34,clean_real_replay,data/cashsnap_v1/images/train/billsbank_10Dollar_104_jpg.rf.5713ed7e4a2c822616771eba78a41895.jpg,2,USD_10,0
35,clean_real_replay,data/cashsnap_v1/images/train/billsbank_50Dollar_101_png_jpg.rf.7503618b6d3fa22c280e1bdb0a2244a8.jpg,4,USD_50,0
36,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4496_jpg.rf.767786c487c5f41870a42269228bf774.jpg,,,1
37,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_20000_khmer_scan_IMG_8507_jpeg_jpg.rf.2023602f918e5ea905a7e96ffbef4ea6_corner_tl_vis0p7.jpg,11,KHR_20000,0
38,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4532_jpg.rf.4cacc1457bc90dcd0b4795ca50014191.jpg,,,1
39,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6422_jpg.rf.36016ed0f80bdf54df0e2b3b926d7c91.jpg,,,1
40,clean_real_replay,data/cashsnap_v1/images/train/billsbank_1Dollar_113_png_jpg.rf.a302b392fa85fbb9291547dd00747c39.jpg,0,USD_1,0
41,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4493_jpg.rf.c76dd255ec075249cc36adeb8c2f739d.jpg,,,1
42,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_001045_usd_10.jpg,2,USD_10,0
43,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6413_jpg.rf.b0f3e56244ebbaac732f11b1bbcd918c.jpg,,,1
44,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000774_usd_20.jpg,3,USD_20,0
45,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_2000_khmer_scan_photo_6_2026-01-02_21-20-08_jpg.rf.dff1a1dbb01d2a1bae0a4d512f5f1345_center_y_vis0p5.jpg,8,KHR_2000,0
46,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4676_jpg.rf.783cc1c06e52e532858c2ca4bda588f0.jpg,,,1
47,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_1000_cambodia_currency_project_IMG_5727_png.rf.aa22118806478d52bc0422a5b8b72a22_center_x_vis0p5.jpg,7,KHR_1000,0
48,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000704_usd_10.jpg,2,USD_10,0
49,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000851_khr_5000.jpg,9,KHR_5000,0
50,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_5000_cambodia_currency_project_IMG_5683_JPG.rf.09fefbb30ba2a4fa0a084d85cd08aa45_center_y_vis0p5.jpg,9,KHR_5000,0
51,clean_real_replay,data/cashsnap_v1/images/train/billsbank_100Dollar_105_jpg.rf.9f176702d6fdfeb3e1b818e1e561176d.jpg,5,USD_100,0
52,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5458_jpg.rf.8155b81910190a9df61129efd28d1961.jpg,,,1
53,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000282_khr_50000.jpg,12,KHR_50000,0
54,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000217_usd_10.jpg,2,USD_10,0
55,clean_real_replay,data/cashsnap_v1/images/train/billsbank_100Dollar_103_jpg.rf.d891e146eb2a7ba32edb8825739b6506.jpg,5,USD_100,0
56,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000477_usd_5.jpg,1,USD_5,0
57,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/usd_total_2Dollar_53_jpeg_jpg.rf.d5b701f878e9b1a0b84a8267ab1b34cd.jpg,,,1
58,high_risk_class_protectors,data/cashsnap_v1/images/train/billsbank_100Dollar_104_jpg.rf.74ce4815b071d54ae98f6adb18e6e2ed.jpg,5,USD_100,0
59,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_1_usd_total_1Dollar_161_jpg.rf.6088bb83c21dcf4c8167c1171a224243_center_y_vis0p5.jpg,0,USD_1,0
