index,component,image,label_ids,label_names,is_empty
0,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4494_jpg.rf.f25d0852f783202450ef83f9c2c6a4a8.jpg,,,1
1,high_risk_class_protectors,data/cashsnap_v1/images/train/billsbank_50Dollar_101_png_jpg.rf.72aa16ccfc1654aa0f571876bc1b5899.jpg,4,USD_50,0
2,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4627_jpg.rf.caa68a314f59a7398cdebc2317ca034a.jpg,,,1
3,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6032_jpg.rf.525503119df18e6db05ea8ced43c797c.jpg,,,1
4,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/khmer_us_currency_100-riel_120_jpg.rf.64bed1508eb5c88239ce53274d115e0c.jpg,,,1
5,clean_real_replay,data/cashsnap_v1/images/train/khmer_scan_IMG_8509_jpeg_jpg.rf.791c6cbbea5cdc087e3de75a86f9b8ee.jpg,11,KHR_20000,0
6,high_risk_class_protectors,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000638_usd_100.jpg,5,USD_100,0
7,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_2000_khmer_scan_photo_3_2026-01-02_21-20-08_jpg.rf.30c46529e800c07bc0a00d3fd1effe77_corner_bl_vis0p7.jpg,8,KHR_2000,0
8,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4503_jpg.rf.c51548ebec01718cb5726f75488090e6.jpg,,,1
9,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/usd_total_2Dollar_15_jpeg_jpg.rf.37aa457c89cf799327793040fae06f47.jpg,,,1
10,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000862_khr_10000.jpg,10,KHR_10000,0
11,countable_partial_replay,data/processed/cashsnap_real_borderpartial_visibility_p8_v1/images/train/KHR_20000_khmer_scan_IMG_8508_jpeg_jpg.rf.360a81bffde615aea1cf147d3dcabdd3_left_vis0p3.jpg,11,KHR_20000,0
12,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000393_khr_10000.jpg,10,KHR_10000,0
13,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000206_usd_10.jpg,2,USD_10,0
14,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5991_jpg.rf.cfee97dc98c9144cc7448e38e8d9d48e.jpg,,,1
15,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/KHR_1000_cambodia_currency_project_IMG_5714_png.rf.fd05e5afe840b3b1667467bba3eb45a9_corner_tl_vis0p7.jpg,7,KHR_1000,0
16,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5665_jpg.rf.6af0d6aefbe8af1aaad06993418caabe.jpg,,,1
17,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4929_jpg.rf.7e0c928c87410a5f0393818976ee6b0f.jpg,,,1
18,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/cashcountingxl_S11_jpg.rf.8042c4e04fe91fbe5be4df2447b94361.jpg,,,1
19,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4680_jpg.rf.14273096b16398c44d9bc9b8c9e916c1.jpg,,,1
20,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000860_usd_10.jpg,2,USD_10,0
21,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5665_jpg.rf.6af0d6aefbe8af1aaad06993418caabe.jpg,,,1
22,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000248_usd_5.jpg,1,USD_5,0
23,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_5446_jpg.rf.b7c131517bf09b9f84a665218bf1e43a.jpg,,,1
24,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/usd_total_2Dollar_2_jpeg_jpg.rf.d7a517c4887ad47309c582a368dabda2.jpg,,,1
25,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4540_jpg.rf.ba60a4f8b0b884c51c1220ff74241fcf.jpg,,,1
26,clean_real_replay,data/cashsnap_v1/images/train/billsbank_20Dollar_103_jpeg_jpg.rf.4382c1272fc656448284f2b953426f81.jpg,3,USD_20,0
27,clean_real_replay,data/cashsnap_v1/images/train/billsbank_20Dollar_105_jpeg_jpg.rf.4ff0419151a79f7380751069ab81e78a.jpg,3,USD_20,0
28,clean_real_replay,data/cashsnap_v1/images/train/billsbank_1Dollar_10_jpg.rf.0e7f69ccec310d29c02fdcd45bbe1050.jpg,0,USD_1,0
