index,component,image,label_ids,label_names,is_empty
0,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4887_jpg.rf.207f2f6b041f265bedb5fd9d61f323e6.jpg,,,1
1,clean_real_replay,data/cashsnap_v1/images/train/khmer_us_currency_IMG_2147_jpg.rf.ccf40a6d2d9f466ffaf08ede18edf898.jpg,8,KHR_2000,0
2,clean_real_replay,data/cashsnap_v1/images/train/billsbank_1Dollar_113_png_jpg.rf.a302b392fa85fbb9291547dd00747c39.jpg,0,USD_1,0
3,clean_real_replay,data/cashsnap_v1/images/train/billsbank_5Dollar_107_jpg.rf.8212eb895cc253add157681c933082d0.jpg,1,USD_5,0
4,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6602_jpg.rf.8f53f7a316e262af62e96b9af0f5ffc6.jpg,7,KHR_1000,0
5,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000612_khr_2000.jpg,8,KHR_2000,0
6,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000714_khr_500.jpg,6,KHR_500,0
7,clean_real_replay,data/cashsnap_v1/images/train/billsbank_100Dollar_103_jpg.rf.d891e146eb2a7ba32edb8825739b6506.jpg,5,USD_100,0
8,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000333_khr_5000.jpg,9,KHR_5000,0
9,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000147_usd_10.jpg,2,USD_10,0
10,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_8452_jpeg.rf.c937ad4a77fb72f36260ea123e1fe5f5.jpg,10,KHR_10000,0
11,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_5_usd_total_5Dollar_198_jpg.rf.978a4906cb91c4f178af25015d8fa010_corner_tl_vis0p7.jpg,1,USD_5,0
12,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_001239_usd_1.jpg,0,USD_1,0
13,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/usd_total_2Dollar_160_jpeg_jpg.rf.b9d729f84fc668ae5ea458cf955e8a57.jpg,,,1
14,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/asian_currency_IMG_4503_jpg.rf.c51548ebec01718cb5726f75488090e6.jpg,,,1
15,countable_partial_replay,data/processed/cashsnap_real_borderpartial_visibility_p8_v1/images/train/KHR_1000_asian_currency_IMG_6598_jpg.rf.3045ec467ce2febe89393fd21034844f_bottom_vis0p5.jpg,7,KHR_1000,0
16,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000778_khr_5000.jpg,9,KHR_5000,0
17,clean_real_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5630_JPG.rf.85d29e663533b70d664be66b9953178c.jpg,6,KHR_500,0
18,countable_partial_replay,data/processed/cashsnap_real_countablepartial_sourceclean_vis50_70_p12_v1/images/train/USD_100_usd_total_100Dollar_80_jpg.rf.e8ac66c0b74e3aabe7a1550035b876df_center_y_vis0p5.jpg,5,USD_100,0
19,clean_real_replay,data/cashsnap_v1/images/train/billsbank_1Dollar_10_jpg.rf.48d1e8b9c947bbf6d11756f6231eb72c.jpg,0,USD_1,0
20,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000373_usd_1.jpg,0,USD_1,0
21,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_001229_khr_5000.jpg,9,KHR_5000,0
22,clean_real_replay,data/cashsnap_v1/images/train/billsbank_10Dollar_103_jpg.rf.d10f7aa454d3bbcd5f794f8bcc2959b4.jpg,2,USD_10,0
23,train_safe_hard_negative_replay,data/cashsnap_v1/images/train/usd_total_2Dollar_34_jpeg_jpg.rf.ca960b26edc0bff2a006317a38065577.jpg,,,1
24,clean_real_replay,data/cashsnap_v1/images/train/billsbank_100Dollar_105_jpg.rf.9f176702d6fdfeb3e1b818e1e561176d.jpg,5,USD_100,0
25,clean_real_replay,data/cashsnap_v1/images/train/khmer_scan_IMG_8521_jpeg_jpg.rf.e1d11a94d9f869d52b96b05e3d7ec316.jpg,11,KHR_20000,0
26,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000376_khr_10000.jpg,10,KHR_10000,0
27,countable_partial_replay,data/cashsnap_v1/images/train/cambodia_currency_project_IMG_5651_JPG.rf.dab3c4679b6e6813084a9d2e63a49046.jpg,6 6 6,KHR_500 KHR_500 KHR_500,0
28,clean_real_replay,data/cashsnap_v1/images/train/asian_currency_IMG_6455_jpg.rf.c8b9827486b833a5fe8c190ebcc7ccd8.jpg,9,KHR_5000,0
29,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_000015_usd_50.jpg,4,USD_50,0
30,clean_real_replay,data/cashsnap_v1/images/train/billsbank_50Dollar_102_jpg.rf.e4aeefa33875cfe814262c12b94e2198.jpg,4,USD_50,0
31,strictbest_synth_replay,data/synthetic/cashsnap_target_anchor_transplant_poisson_contact_geoscale205_minshort190_bal96_scaled_probe_v1/images/train/cashsnap_target_anchor_001046_khr_1000.jpg,7,KHR_1000,0
32,clean_real_replay,data/cashsnap_v1/images/train/billsbank_5Dollar_104_jpg.rf.5d6206440573dd86fdad68d1a78938c3.jpg,1,USD_5,0
